species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule
Tomato leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Guangxi 63/2003/Nanning2	DNA-A: AJ704603	Complete genome	tomato leaf curl China virus	ToLCCNV/NN2	NULL	4	202103419	plants	ssDNA
Tomato leaf curl Comoros virus	A	NULL	NULL	NULL	NULL	Madagascar/Dimadjou/2006/Madagascar	AM701761	Complete genome	tomato leaf curl Comoros virus	ToLCKMV/MG	NULL	2	202103420	plants	ssDNA
Tomato leaf curl Ghana virus	A	NULL	NULL	NULL	NULL	Cameroon/AGFG24/2009/Ageratum	DNA-A: FR873228	Complete genome	tomato leaf curl Ghana virus	ToLCGV/Ag	NULL	2	202103422	plants	ssDNA
Tomato leaf curl Java virus	A	NULL	NULL	NULL	NULL	Indonesia/Ageratum/B	AB162141	Complete genome	tomato leaf curl Java virus	ToLCJaV/B	NULL	2	202103430	plants	ssDNA
Tomato leaf curl Madagascar virus	A	NULL	NULL	NULL	NULL	Madagascar/Toliary/2001/Atsimo	AJ865339	Complete genome	tomato leaf curl Madagascar virus	ToLCMGV/Ats	NULL	2	202103436	plants	ssDNA
Tomato leaf curl Philippines virus	A	NULL	NULL	NULL	NULL	Philippines/Laguna/2006/A	DNA-A: AB377113	Complete genome	tomato leaf curl Philippines virus	ToLCPV/A	NULL	2	202103449	plants	ssDNA
Tomato leaf curl Philippines virus	A	NULL	NULL	NULL	NULL	Philippines/Laguna/2006/C	DNA-A: AB307731	Complete genome	tomato leaf curl Philippines virus	ToLCPV/C	NULL	3	202103449	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Sudan/WM/2011	KC763630	Complete genome	tomato leaf curl Sudan virus	ToLCSDV	NULL	2	202103455	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Sudan/Shambat/1996/Shambat	AY044139	Complete genome	tomato leaf curl Sudan virus	ToLCSDV/Sha	NULL	3	202103455	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Yemen/2005/Yemen	DNA-A: EF110891	Complete genome	tomato leaf curl Sudan virus	ToLCSDV/YE	NULL	4	202103455	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	China/NS1/2011	DNA-A: JQ867093	Complete genome	tomato leaf curl Taiwan virus	ToLCTV	NULL	2	202103457	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	Taiwan/Luye 2/4/2009/B	DNA-A: GU723730	Complete genome	tomato leaf curl Taiwan virus	ToLCTV/B	NULL	3	202103457	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	Taiwan/Chiayi/LJC14/2005/C	DNA-A: DQ866128	Complete genome	tomato leaf curl Taiwan virus	ToLCTV/C	NULL	4	202103457	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	Australia/Solanum/D1/Solanum	AF084006	Complete genome	tomato leaf curl virus	ToLCV/Sol	NULL	2	202103461	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	India/New Delhi/CTS/2006	DNA-A: DQ629101	Complete genome	tomato leaf curl virus	ToLCV	NULL	3	202103461	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	India/Punjab/Mentha/2007/Bangalore	FJ514798	Complete genome	tomato leaf curl virus	ToLCV/Ban	NULL	4	202103461	plants	ssDNA
