species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Seahorsevirus seahorse	E		MN512538.1	NULL	Complete genome			NULL	Vibrio phage Seahorse	NULL	NULL	1	202214950	bacteria	dsDNA	12779
Enfavirus NF	E		MN812722.2	NULL	Complete genome			NULL	Vibrio phage NF	NULL	NULL	1	202214951	bacteria	dsDNA	12780
Tieomvirus BT1011	E		MW009675.1	NULL	Complete genome			NULL	Vibrio phage vB_VpP_BT-1011	NULL	NULL	1	202214952	bacteria	dsDNA	12781
Kumottavirus kumotta	E		MK977703.1	NULL	Complete genome			NULL	Arthrobacter phage Kumotta	NULL	NULL	1	202214956	bacteria	dsDNA	12782
Kumottavirus margaretkali	E		MH450123.1	NULL	Complete genome			NULL	Arthrobacter phage MargaretKali	NULL	NULL	1	202214957	bacteria	dsDNA	12783
Sargevirus sarge	E		OK040780.1	NULL	Complete genome			NULL	Arthrobacter phage Sarge	NULL	NULL	1	202214958	bacteria	dsDNA	12784
Shoyavirus shoya	E		MN908684.1	NULL	Complete genome			NULL	Arthrobacter phage Shoya	NULL	NULL	1	202214959	bacteria	dsDNA	12785
Onyinyevirus onyinye	E		MN813687.1	NULL	Complete genome			NULL	Mycobacterium phage Onyinye	NULL	NULL	1	202214963	bacteria	dsDNA	12786
Adaiavirus adaia	E		MH834594.1	NULL	Complete genome			NULL	Arthrobacter phage Adaia	NULL	NULL	1	202214964	bacteria	dsDNA	12787
Atraxavirus atraxa	E		MH834597.1	NULL	Complete genome			NULL	Arthrobacter phage Atraxa	NULL	NULL	1	202214965	bacteria	dsDNA	12788
Godonkavirus phendrix	E		MN096369.1	NULL	Complete genome			NULL	Gordonia phage Phendrix	NULL	NULL	1	202214969	bacteria	dsDNA	12789
Forzavirus forza	E		MK814760.1	NULL	Complete genome			NULL	Gordonia phage Forza	NULL	NULL	1	202214970	bacteria	dsDNA	12790
Sixamavirus sixama	E		MN484601.1	NULL	Complete genome			NULL	Gordonia phage Sixama	NULL	NULL	1	202214971	bacteria	dsDNA	12791
Puahadnavirus inbhir	E		OM154948	NULL	Complete genome			NULL	Avonheates virus SG_146	AvVSG_146	NULL	1	202215000	marine (S)	ssDNA(+/-)	12810
Puahadnavirus kaisui	E		OM154950	NULL	Complete genome			NULL	Avonheates virus SG_479	AvVSG_479	NULL	1	202215001	marine (S)	ssDNA(+/-)	12811
Puahadnavirus takutai	E		OM154945	NULL	Complete genome			NULL	Avonheates virus SG_28	AvVSG_28	NULL	1	202215002	marine (S)	ssDNA(+/-)	12812
Seawadnavirus avonheat	E		OM154943	NULL	Complete genome			NULL	Avonheates virus SG_924	AvVSG_924	NULL	1	202215003	marine (S)	ssDNA(+/-)	12813
Seawadnavirus katao	E		OM154947	NULL	Complete genome			NULL	Avonheates virus SG_120	AvVSG_120	NULL	1	202215004	marine (S)	ssDNA(+/-)	12814
Botoulivirus iotabotrytidis	E		OK634395; UJT32090	NULL	Complete coding genome			NULL	Botrytis cinerea botoulivirus 18	BcBoV18	NULL	1	202215005	fungi	ssRNA(+)	12815
Botoulivirus kappabotrytidis	E		OK634396; UJT32091	NULL	Complete coding genome			NULL	Botrytis cinerea botoulivirus 19	BcBoV19	NULL	1	202215006	fungi	ssRNA(+)	12816
Botoulivirus alphapestalotiopsis	E		MW017457; QTH80197	NULL	Complete coding genome			NULL	Pestalotiopsis botourmiavirus 3	PBV-3	NULL	1	202215007	fungi	ssRNA(+)	12817
