species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Alphalipothrixvirus SBFV2	E	SBFV2 clone B	MK064563	NULL	Coding-complete genome	NULL	NULL	NULL	Sulfolobales Beppu filamentous virus 2	SBFV2	NULL	1	202208644	archaea	dsDNA	1
Alphalipothrixvirus SFV1	E	SFV1 isolate S48	MH447526	NULL	Complete genome	NULL	NULL	NULL	Sulfolobus filamentous virus 1	SFV1	NULL	2	202208643	archaea	dsDNA	2
Acidianus filamentous virus 3	E		AM087120	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 3	AFV3	NULL	3	202201532	archaea	dsDNA	3
Acidianus filamentous virus 6	E		AM087121	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 6	AFV6	NULL	4	202201533	archaea	dsDNA	4
Acidianus filamentous virus 7	E		AM087122	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 7	AFV7	NULL	5	202201534	archaea	dsDNA	5
Acidianus filamentous virus 8	E		AM087123	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 8	AFV8	NULL	6	202201535	archaea	dsDNA	6
Acidianus filamentous virus 9	E		EU545650	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 9	AFV9	NULL	7	202201536	archaea	dsDNA	7
Sulfolobus islandicus filamentous virus	E		AF440571	NULL	Complete genome	NULL	NULL	NULL	Sulfolobus islandicus filamentous virus	SIFV	NULL	8	202201537	archaea	dsDNA	8
Acidianus filamentous virus 2	E		AJ854042	NULL	Complete genome	NULL	NULL	NULL	Acidianus filamentous virus 2	AFV2	NULL	9	202201539	archaea	dsDNA	9
Deltalipothrixvirus SBFV3	E	SBFV3 clone C	MK064564	NULL	Coding-complete genome	NULL	NULL	NULL	Sulfolobales Beppu filamentous virus 3	SBFV3	NULL	10	202208645	archaea	dsDNA	10
Azorudivirus SRV	E		FM164764	NULL	Coding-complete genome	NULL	NULL	NULL	Stygiolobus rod-shaped virus	SRV	NULL	11	202211720	archaea	dsDNA	11
Hoswirudivirus ARV2	E		KP282675	NULL	Coding-complete genome	NULL	NULL	NULL	Acidianus rod-shaped virus 2	ARV2	NULL	12	202211716	archaea	dsDNA	12
