species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Saccharum streak virus	E	South Africa/Empageni/T1/2008	GQ273988	NC_013464	Complete genome	NULL	NULL	NULL	Saccharum streak virus	SacSV	NULL	1	202203531	plants	ssDNA	1
Sorghum arundinaceum associated virus	E	Reunion-Bassin Plat-RE034-2014	MK546381	NC_055573	Complete genome	NULL	NULL	NULL	Sorghum arundinaceum associated virus	SAAV	NULL	1	202209107	plants	ssDNA(+)	2
Sporobolus striate mosaic virus 1	E	Australia/Wyaga/3020_1/2011	JQ948051	NC_018577	Complete genome	NULL	NULL	NULL	Sporolobus striate mosaic virus 1	SSMV1	NULL	1	202203532	plants	ssDNA	3
Sporobolus striate mosaic virus 2	E	Australia/Wyaga/3020_2/2011	JQ948052	NC_018578	Complete genome	NULL	NULL	NULL	Sporolobus striate mosaic virus 2	SSMV2	NULL	1	202203533	plants	ssDNA	4
Sugarcane chlorotic streak virus	E	Nigeria/Sc-10/SR/1/2015	KX787914	NC_032004	Complete genome	NULL	NULL	NULL	sugarcane chlorotic streak virus	SCSV	NULL	1	202205855	plants	ssDNA	5
Sugarcane streak Egypt virus	E	Egypt/Aswan	AF037752	NC_001868	Complete genome	NULL	NULL	NULL	sugarcane streak Egypt virus	SSEV	NULL	1	202203534	plants	ssDNA	6
Sugarcane streak Reunion virus	E	Reunion/R574/A	AF072672	NC_004755	Complete genome	NULL	NULL	NULL	sugarcane streak Reunion virus	SSREV/A	NULL	1	202203535	plants	ssDNA	7
Sugarcane streak virus	E	South Africa/Natal/A	M82918	NC_003744	Complete genome	NULL	NULL	NULL	sugarcane streak virus	SSV/A	NULL	1	202203536	plants	ssDNA	8
Sugarcane striate virus	E	China/WZG/2014	KR150789	NC_075107	Complete genome	NULL	NULL	NULL	sugarcane striate virus	SStrV	NULL	1	202205856	plants	ssDNA	9
Sugarcane white streak virus	E	Sudan/VARX/2013	KJ210622	NC_023989	Complete genome	NULL	NULL	NULL	sugarcane white streak virus	SWSA/A	NULL	1	202203537	plants	ssDNA	10
Sweet potato symptomless virus 1	E	Kenya/Q44429/2005	KY565231	NC_075110	Complete genome	NULL	NULL	NULL	sweet potato symptomless virus 1	SpSV/1	NULL	1	202205857	plants	ssDNA	11
Switchgrass mosaic-associated virus	E	United States/DB/2012	KF806701	NC_025834	Complete genome	NULL	NULL	NULL	switchgrass mosaic-associated virus	SgMaV	NULL	1	202203538	plants	ssDNA	12
Tobacco yellow dwarf virus	E	Australia/1992	M81103	NC_003822	Complete genome	NULL	NULL	NULL	tobacco yellow dwarf virus	TbYDV	NULL	1	202203539	plants	ssDNA	13
Urochloa streak virus	E	Nigeria/Ipetumodu/g226/2007	EU445699	NC_010797	Complete genome	NULL	NULL	NULL	Urochloa streak virus	USV	NULL	1	202203540	plants	ssDNA	14
Wheat dwarf India virus	E	India/2010	JQ361910	NC_017828	Complete genome	NULL	NULL	NULL	wheat dwarf India virus	WDIV	NULL	1	202203541	plants	ssDNA	15
