id	abbrev	name	balt_group	balt_roman	description	left_idx	right_idx
0	"Unassigned"	"Unassigned"	\N	\N	\N	\N	\N
1	"dsDNA"	"Double-stranded DNA"	1	"I"	\N	20	30
2	"ssDNA"	"Single-stranded DNA"	2	"II"	\N	100	800
3	"dsRNA"	"Double-stranded RNA"	3	"III"	\N	\N	\N
4	"ssRNA(+)"	"Single-stranded RNA - Positive-sense"	4	"IV"	\N	1300	1400
5	"ssRNA(-)"	"Single-stranded RNA - Negative-sense"	5	"V"	\N	1500	1600
6	"ssRNA-RT"	"Single-stranded RNA - Positive-sense - replicates through a DNA intermediate"	6	"VI"	\N	\N	\N
7	"dsDNA-RT"	"Double-stranded DNA - replicates through a single-strand RNA intermediate"	7	"VII"	\N	\N	\N
8	"Viroid"	"Circular Single-stranded RNA"	\N	\N	\N	\N	\N
9	"ssDNA(-)"	"Single-stranded DNA - Negative-sense"	\N	\N	\N	500	600
10	"ssDNA(+)"	"Single-stranded DNA - Positive-sense"	\N	\N	\N	300	400
11	"ssDNA(+/-)"	"Single-stranded DNA - Ambi-sense"	\N	\N	\N	200	700
12	"ssRNA(+/-)"	"Single-stranded RNA - Ambi-sense"	\N	\N	\N	1200	1700
13	"dsDNA; ssDNA"	"DNA - some taxa double stranded, some taxa single standed"	\N	\N	\N	10	900
14	"ssRNA"	"Single-stranded RNA"	\N	\N	"Introduced in MSL33 for the viroids"	1100	1800
15	"ssRNA(-); ssRNA(+/-)"	"Single-stranded RNA - some Negative-sense segments, some Ambi-sense segments"	\N	\N	"20240912 added for VMR_MSL39_v4 for order Hareavirales in class Bunyaviricetes"	1250	1275
