prev_taxid	new_taxid	proposal	notes	is_merged	is_split	is_moved	is_promoted	is_demoted	is_renamed	is_new	is_deleted	is_now_type	is_lineage_updated	msl
\N	19710002	"ICTV 1st Report.pdf"	" p74"	0	0	0	0	0	0	1	0	0	0	1
\N	19710003	"ICTV 1st Report.pdf"	" p75"	0	0	0	0	0	0	1	0	0	0	1
\N	19710008	"ICTV 1st Report.pdf"	" p38"	0	0	0	0	0	0	1	0	0	0	1
\N	19710009	"ICTV 1st Report.pdf"	" p39"	0	0	0	0	0	0	1	0	0	0	1
\N	19710010	"ICTV 1st Report.pdf"	" p55"	0	0	0	0	0	0	1	0	0	0	1
\N	19710011	"ICTV 1st Report.pdf"	" p57"	0	0	0	0	0	0	1	0	0	0	1
\N	19710012	"ICTV 1st Report.pdf"	" p56"	0	0	0	0	0	0	1	0	0	0	1
\N	19710013	"ICTV 1st Report.pdf"	" p36"	0	0	0	0	0	0	1	0	0	0	1
\N	19710014	"ICTV 1st Report.pdf"	" p50"	0	0	0	0	0	0	1	0	0	0	1
\N	19710015	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710016	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710017	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710018	"ICTV 1st Report.pdf"	" p32"	0	0	0	0	0	0	1	0	0	0	1
\N	19710019	"ICTV 1st Report.pdf"	" p65"	0	0	0	0	0	0	1	0	0	0	1
\N	19710020	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710021	"ICTV 1st Report.pdf"	" p37"	0	0	0	0	0	0	1	0	0	0	1
\N	19710022	"ICTV 1st Report.pdf"	" p71"	0	0	0	0	0	0	1	0	0	0	1
\N	19710023	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710024	"ICTV 1st Report.pdf"	" p67"	0	0	0	0	0	0	1	0	0	0	1
\N	19710025	"ICTV 1st Report.pdf"	" p45"	0	0	0	0	0	0	1	0	0	0	1
\N	19710026	"ICTV 1st Report.pdf"	" p43"	0	0	0	0	0	0	1	0	0	0	1
\N	19710027	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710028	"ICTV 1st Report.pdf"	" p31"	0	0	0	0	0	0	1	0	0	0	1
\N	19710029	"ICTV 1st Report.pdf"	" p35"	0	0	0	0	0	0	1	0	0	0	1
\N	19710030	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710031	"ICTV 1st Report.pdf"	" p40"	0	0	0	0	0	0	1	0	0	0	1
\N	19710032	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710033	"ICTV 1st Report.pdf"	" p49"	0	0	0	0	0	0	1	0	0	0	1
\N	19710034	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710035	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710036	"ICTV 1st Report.pdf"	" p64"	0	0	0	0	0	0	1	0	0	0	1
\N	19710037	"ICTV 1st Report.pdf"	" p42"	0	0	0	0	0	0	1	0	0	0	1
\N	19710038	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710039	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710040	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710041	"ICTV 1st Report.pdf"	" p44"	0	0	0	0	0	0	1	0	0	0	1
\N	19710042	"ICTV 1st Report.pdf"	" p51"	0	0	0	0	0	0	1	0	0	0	1
\N	19710043	"ICTV 1st Report.pdf"	" p66"	0	0	0	0	0	0	1	0	0	0	1
\N	19710044	"ICTV 1st Report.pdf"	" p30"	0	0	0	0	0	0	1	0	0	0	1
